X,Y,OBJECTID,STOPID,STOPCODE,STOPNAME,STOPDESC,LOCATIONTYPE,STOPLAT,STOPLON,PARENTSTATION,MODE
1754735.9546,5915778.0862,416195,8316-3b28d30b,8316,SANDRINGHAM SHOPS,,STOP,-36.8913,174.73653,,BUS
1754624.3226,5915423.8639,416196,8317-0c5b8357,8317,PARRY STREET,,STOP,-36.89451,174.73535,,BUS
1754645.04,5915435.6952,416197,8318-337a6f12,8318,PARRY STREET,,STOP,-36.8944,174.73558,,BUS
1754480.2863,5915198.9689,416198,8319-3c7b008d,8319,MOUNT ALBERT ROAD,,STOP,-36.89656,174.73378,,BUS
1754495.475,5915200.9126,416199,8320-462b96d9,8320,MOUNT ALBERT ROAD,,STOP,-36.89654,174.73395,,BUS
1754304.3654,5914935.8069,416200,8321-6fe0728c,8321,WALMSLEY PARK,,STOP,-36.89896,174.73186,,BUS
1754313.2558,5914934.5357,416201,8322-b542e6cd,8322,WALMSLEY PARK,,STOP,-36.89897,174.73196,,BUS
1754194.7731,5914692.5252,416202,8323-1a869f0e,8323,WESLEY COMMUNITY CENTRE,,STOP,-36.90117,174.73068,,BUS
1754221.2571,5914727.559,416203,8324-92862ae3,8324,WESLEY COMMUNITY CENTRE,,STOP,-36.90085,174.73097,,BUS
1754087.6266,5914534.6542,416204,8325-2ea1027c,8325,WESLEY INTERMEDIATE SCHOOL,,STOP,-36.90261,174.72951,,BUS
1754069.0221,5914491.7084,416205,8326-8bb7452f,8326,WESLEY INTERMEDIATE SCHOOL,,STOP,-36.903,174.72931,,BUS
1751532.5416,5916098.8062,416206,8327-1f397323,8327,CRADOCK STREET,,STOP,-36.88893,174.70053,,BUS
1751535.5057,5916315.1647,416207,8328-3114b70b,8328,BLOCKHOUSE BAY ROAD/GREAT NORTH ROAD,,STOP,-36.88698,174.70052,,BUS
1751540.7665,5915860.0522,416208,8329-23a39558,8329,POWELL STREET,,STOP,-36.89108,174.70067,,BUS
1751542.9982,5916085.3022,416209,8330-3ede6305,8330,CRADOCK STREET,,STOP,-36.88905,174.70065,,BUS
1751555.7094,5915348.1667,416210,8331-c2dad3f5,8331,AVONDALE ISLAMIC CENTRE,,STOP,-36.89569,174.70094,,BUS
1751551.8174,5915829.8905,416211,8332-ebb9cf85,8332,POWELL STREET,,STOP,-36.89135,174.7008,,BUS
1751566.7449,5915017.2484,416212,8333-88b272cb,8333,BLOCKHOUSE BAY ROAD/METHUEN ROAD,,STOP,-36.89867,174.70113,,BUS
1751563.0745,5915411.2942,416213,8334-d261b935,8334,AVONDALE ISLAMIC CENTRE,,STOP,-36.89512,174.70101,,BUS
1751574.8068,5914819.5595,416214,8335-01df3b44,8335,CHALMERS STREET,,STOP,-36.90045,174.70126,,BUS
1751577.4976,5914970.4449,416215,8336-a2f310c2,8336,BLOCKHOUSE BAY ROAD/METHUEN ROAD,,STOP,-36.89909,174.70126,,BUS
1751581.938,5914569.7263,416216,8337-03a17c88,8337,ACTON PLACE,,STOP,-36.9027,174.70139,,BUS
1751584.0745,5914739.4883,416217,8338-723cb5a9,8338,CHALMERS STREET,,STOP,-36.90117,174.70138,,BUS
1751588.5344,5914239.9965,416218,8339-0294b4ff,8339,BLOCKHOUSE BAY ROAD/GLENAVON SHOPS,,STOP,-36.90567,174.70153,,BUS
1751588.8484,5914557.3952,416219,8340-6a187012,8340,ACTON PLACE,,STOP,-36.90281,174.70147,,BUS
1751601.2669,5913904.608,416220,8341-6136aaea,8341,HOLBROOK STREET,,STOP,-36.90869,174.70174,,BUS
1751599.5229,5914256.4475,416221,8342-bf56c30c,8342,BLOCKHOUSE BAY ROAD/GLENAVON SHOPS,,STOP,-36.90552,174.70165,,BUS
1751610.3745,5913565.9544,416222,8343-253f3ed6,8343,MARGATE ROAD,,STOP,-36.91174,174.70191,,BUS
1751617.244,5913401.5804,416223,8345-725c0371,8345,BLOCKHOUSE BAY ROAD/MATATA STREET,,STOP,-36.91322,174.70202,,BUS
